audio_path,transcription
common_voice_as_32546165.mp3,শহাই আধাবাট পাৰ হৈ কাছক দেখা পাম বুলি উভতি কিছুসময় চালে।
common_voice_as_32546166.mp3,মোৰ জোতাযোৰ পলিশ্ব কৰি থৈ দিবা।
common_voice_as_32546193.mp3,তেতিয়াহে দেশ এখনত মহিলা সুৰক্ষিত হ'ব।
common_voice_as_32546194.mp3,বৰাইল শ্ৰেণীৰ মুক্ৰু নামৰ ঠাইৰ পৰা এই নদীখনৰ উৎপত্তি হৈছে।
common_voice_as_32546195.mp3,"অসম বুৰঞ্জীত বৰপেটাক ""সত্ৰভূমি"" বুলি জনা যায়।"
common_voice_as_32546196.mp3,বলোৱে তেতিয়া দয়াৰামৰ বিষয়ে আদ্যোপান্ত বৰ্ণনা কৰিলে।
common_voice_as_32546197.mp3,তেওঁৰ স্বভাবৰ চাব লৰা-ছোৱালী লগুৱা-লিগিৰী গৃহস্থ সকলোৰ ওপৰতে অলপ পৰে।
common_voice_as_32546198.mp3,এতিয়া সেইবোৰ পেলনি গ'লে বহুতো লোকচান হ'ব।
common_voice_as_32546199.mp3,প্ৰিয়াৰ বিয়োগত মহাদেৱ শোকত বলিয়া হ'ল।
common_voice_as_32546200.mp3,পৰ্বতেশ্বৰ দক্ষৰ প্ৰতি উৎসৰ্গিত আৰু তেওঁ শিৱৰ প্ৰতি কিছু জটিল মনোভাৱ পোষণ কৰে।
common_voice_as_32546201.mp3,ৰজা ওচৰতে বহি আছিল।
common_voice_as_32546202.mp3,বাহিৰৰ উন্নত দেশত ধৰ্ষণ জাতীয় অপৰাধ নাই বুলি মুঠেই ক'বলৈ নাযাওঁ।
common_voice_as_32546203.mp3,তুমি যে কিমান পঢ়িবা লেখিবা মই ভালকৈয়ে জানো
common_voice_as_32546204.mp3,"নিছিঙিবি নাভাঙিবি মোৰ জালি তাঁত, ভালে ভালে তুলি থ আগৰ জেগাত।"
common_voice_as_32546205.mp3,নিজৰ লক্ষ্যত উপনীত হ'বলৈ সকলোৰে হাবিয়াস থাকে।
common_voice_as_32546206.mp3,এনে এটা শিকাৰ আগত পাইও এটা আছোৰ নলগালে।
common_voice_as_32546207.mp3,তাৰ প্ৰথমেই ভাব হ'ল পানেই গাভৰু।
common_voice_as_32546213.mp3,সেইকাৰণে নাম হৈছিল ত্ৰিলিংগ।
common_voice_as_32546214.mp3,কোকৰাঝাৰ জিলা ভাৰতৰ অংগৰাজ্য অসমৰ এখন জিলা।
common_voice_as_32546215.mp3,কোনােটিত নদীয়ালৰ খেল
common_voice_as_32546216.mp3,গতিকে কঠীয়াৰ ধান মজুত কৰি ৰাখে।
common_voice_as_32546217.mp3,"তেওঁলোক হ'ল জয়সূৰ্য, পদ্মজা, ৰণধীৰ, নীলৱাৰ আৰু লীলামণি।"
common_voice_as_32546228.mp3,ইহঁতক থকা ঠাইলৈ লৈ যা।
common_voice_as_32546229.mp3,ঘৰলৈ গৈহে মতামত জনাম।
common_voice_as_32546231.mp3,সি তাৰ তীক্ষ্ণ চেপেনাৰে বগলীৰ ডিঙিটো চেপি ধৰি ক'লে।
common_voice_as_32546235.mp3,এতিয়া তেওঁ পগলা ফাটেকত।
common_voice_as_32546236.mp3,তেতিয়া সকলোৱে মহা আনন্দেৰে ৰজাৰ দৰে থাকিবলৈ ধৰিলে।
common_voice_as_32546237.mp3,জংকি! তই আজি এনেবিলাক কথা কেলেই কৈছে?
common_voice_as_32546238.mp3,"তাৰেই দেওবৰীয়া হাটৰ পৰা বৰা চাউল, গুৰ আৰু তিল আনিলোঁ।"
common_voice_as_32546239.mp3,"ডাক্তৰে চাই-চিতি ক'লে- ""বোধ কৰো আঁৱৰীয়া বেমাৰ।"""
common_voice_as_32546240.mp3,দৈনন্দিন কামত আমি কৃত্ৰিম বুদ্ধিমত্তাৰ ব্যৱহাৰ কৰিয়েই আছোঁ।
common_voice_as_32546241.mp3,বেৰৰ কাষতে মাটিত গোটা-চেৰেক উঘা-চেৰেকী পুতি থিয়কৈ থোৱা হৈছে।
common_voice_as_32546242.mp3,তাৰে ভিতৰত এটা অভিজ্ঞতাৰ বিষয়ে আজি কিছু কথা কওঁ আহক।
common_voice_as_32546271.mp3,"তেতিয়াই সেই গাভৰু দুজনীয়ে মাত লগালে- ""আমি নাচিলে পাঁচ টকা পাঁচ টকা লাগিব।"""
common_voice_as_32546273.mp3,তাৰ বাবে আগৰ বন্দবস্তমতেই দৰমহা পাবি।
common_voice_as_32546275.mp3,আৰু আতৰি আহি এজোপা গছৰ আঁৰত বহি থাকিল।
common_voice_as_32546276.mp3,পৃথিৱীৰ সকলো ধৰ্মৰে সাৰমৰ্মৰ উপৰিও ধৰ্ম গ্ৰন্থত থকা চৰিত্ৰ বিলাকৰ বিষয়ে সংক্ষিপ্ত বৰ্ণনা দিছে।
common_voice_as_32546277.mp3,বিদ্যা-শিক্ষা কৰি থকা সময়ছােৱাক ছাত্রাৱস্থা বােলে।
common_voice_as_32546284.mp3,খাই উঠি এজনে আনজনৰ খোৱাৰ খৰছ দি গুচি আহিল।
common_voice_as_32546285.mp3,নৰাই শৰ্মাৰ ধন-সোণ নিলে এনেকুৱা এটা বাবাজীয়েই।
common_voice_as_32546286.mp3,হজ্জ শব্দৰ আভিধানিক অৰ্থ হৈছে ইচ্ছা বা সংকল্প কৰা।
common_voice_as_32546287.mp3,যৌৱনত ভৰি দি উঠাৰ পাছতো তাৰ সৰুকালৰ স্বভাৱ নগ'ল।
common_voice_as_32546293.mp3,তাঁত বোৱা বিদ্যাটো নো কিয় আমাৰ বেচি লাগতীয়াল
common_voice_as_32546294.mp3,সি কোনখিনি পালেগৈ তাৰ কি ঠিক আছে! তথাপি আমি আমাৰ কাম কৰিব লাগিব।
common_voice_as_32546296.mp3,সিহঁত ক'ত আছে ক?
common_voice_as_32546297.mp3,"শুই থাকা, গুড নাইট, ছুইট ড্ৰীম্চ!"
common_voice_as_32546298.mp3,জিনৰ পৰা পৰি গ'ল
common_voice_as_32546299.mp3,ছোৱালীজনীৰ নাম ৰূপহী।
common_voice_as_32546300.mp3,অৱশিষ্ট বোম্বাই ৰাজ্যৰ মাৰাঠী-ভাষী অঞ্চল।
common_voice_as_32546301.mp3,দেউতাই কি কৰিছিলে?
common_voice_as_32546302.mp3,"বাপুৱে মেট্ৰিক পাছ কৰি শ্বিলঙত আৰ্মীৰ চাকৰিত সোমাল, বিয়া বাৰু কৰালে।"
common_voice_as_32546318.mp3,মণিয়েও মুখ ধুই চাহ খালে।
common_voice_as_32546319.mp3,বাপেক জীয়াই থাকোঁতেই তেওঁৰ দুটা ল'ৰা আৰু এজনী ছোৱালী উপজিছিল।
common_voice_as_32546320.mp3,"এইখন এখন ইউনিছেক্স স্পা, তাৰ মানে এইখন পুৰুষ আৰু মালিহা দুয়োৰে বাবে।"
common_voice_as_32546321.mp3,ময়ো শান্তি পাইছিলোঁ।
common_voice_as_32546322.mp3,কাইলে' চবেই ড্ৰ'ইং বুক আৰু কালাৰ পেঞ্চিল লৈ আনিবা।
common_voice_as_32546359.mp3,কেতিয়াবা বতাহৰ অলপ ৰিব্-ৰিবনিত গছ পাতবোৰ জৰজৰাই উঠিছে।
common_voice_as_32546360.mp3,আৰু মিৰিৰ দা-দস্তুৰ মতে তুলি নি ক্ৰিয়াকলাপ কৰিলে।
common_voice_as_32546361.mp3,প্ৰথমতে বৰ ঘৰটো আৰু তাৰ পাচত ভঁৰাল ঘৰটো টিনৰ কৰিব।
common_voice_as_32546362.mp3,"সি ক'লে বোলে তাৰ আন ঠাইত কাম আছে, আহিব নোৱাৰে।"
common_voice_as_32546363.mp3,আৰু জুইৰ তাপ পাই পানী সোনকালে উতলিল।
common_voice_as_32546364.mp3,"খেতিয়ক জলে কলে ডাঙৰীয়া, সেইটো ও নহয়। মই দুখীয়া মানুহ।"
common_voice_as_32546365.mp3,পোন্ধৰ হাজাৰৰ ভিতৰত ৰিয়েলমি ফ'ন।
common_voice_as_32546369.mp3,কিবা এটা বুদ্ধি কৰি কষ্ট নকৰাকৈ মাছবােব খাব পৰা হ'লে।
common_voice_as_32546378.mp3,গুৱাহাটী মহানগৰ উন্নয়ন প্ৰাধিকৰণৰ অধীনত আছে।
common_voice_as_32546381.mp3,এই আঙঠিটো কলপাত এখনত থৈ ভালমতে সেৱা-শুশ্ৰষা কৰিলে
common_voice_as_32546383.mp3,এই জাননী পোৱা মাত্ৰে তুমি মোৰ মোক্কেলৰ লগত আপোচ কৰিবা।
common_voice_as_32546385.mp3,"তাৰে গাঁৱৰ এঘৰত, ভেটিৰ পৰা আঁতৰি নাযাওঁ বুলি"
common_voice_as_32546386.mp3,শেহত মানুহ ওচৰ চপা দেখি লৰ মাৰি ওচৰৰে হাবি এডোখৰত সোমাল।
common_voice_as_32546392.mp3,ভাৰত চৰকাৰৰ অধীনলৈ আহে আৰু ইয়াৰ নাম অসম আৰক্ষীলৈ সলনি কৰা হয়
common_voice_as_32546393.mp3,কথাবোৰ ঘৰৰ মানুহখিনিক কৈছিলোঁ।
common_voice_as_32546394.mp3,এই স্থানান্তৰণৰ পাছত ভাৰতত কোম্পানীৰ সকলো সংস্থাৰ প্ৰধান কাৰ্যালয়েই বোম্বাইলৈ তুলি অনা হয়।
common_voice_as_32546395.mp3,শিৱৰ এজন নিষ্ঠাৱান ভক্ত যাৰপৰা শিৱই প্ৰায়ে মতামত আৰু পৰামৰ্শ বিচাৰে।
common_voice_as_32546397.mp3,সকলােকে শিক্ষিত কৰা আৰু আত্মনিৰ্ভৰশীল হ'বলৈ যথাসাধ্য চেষ্টা কবিম।
common_voice_as_32546417.mp3,সি সেই সাঁচবোৰ লেখি তিনিকুৰি পালে।
common_voice_as_32546418.mp3,ৰাজহুৱা স্থানত ঘূৰি ফুৰাৰ স্বাধীনতা কিন্তু সম্পূৰ্ণ আছে।
common_voice_as_32546419.mp3,কি! কি কৰিবি! বাপেৰৰ দিনত হাল বাওঁতেই গ'ল।
common_voice_as_32546420.mp3,নিজক আৰু দেশক গঢ় দিবলৈ শিকাও ছাত্ৰৰ কৰ্তব্যৰ ভিতৰত পৰে।
common_voice_as_32546421.mp3,অতিজৰে পৰা চলি অহা ফুৰ্তিৰ ৰং ধেমালিৰ এক সাহসিক ক্ৰিড়া।
common_voice_as_32546432.mp3,বহুদিন বৰষুণ দিয়া নাই।
common_voice_as_32546434.mp3,আৰু ছোৱালী শান্তি হোৱাৰ আগতে গদাধৰৰো পৰলোক হয়।
common_voice_as_32546435.mp3,অনেক দিনৰ পৰা শুনি শুনি মই সদয় ভাবি অস্থিৰ হওঁ
common_voice_as_32546438.mp3,বাবাজী সন্তুষ্ট হ'ল আৰু আশীৰ্বাদ দি খাব খুজিলে
common_voice_as_32546447.mp3,চোৰ আৰু ক'ত ওলাব।
common_voice_as_32546448.mp3,মানাহ অভয়াৰণ্যৰ কাষতে থকা এটা পুখুৰীৰ পানীও লাহে লাহে শুকাই আহিছিল।
common_voice_as_32546449.mp3,চিত্ৰগুপ্তক কিমানখিনি ফাকি দিব পাৰিলে।
common_voice_as_32546450.mp3,ৰাক্ষসে পেটৰ পৰা এটা সোণৰ আঙঠি উলিয়াই দিলে।
common_voice_as_32546462.mp3,আই এন ডিলাক্স ব্ৰেণ্ডৰ প্ৰডাক্ট।
common_voice_as_32546463.mp3,তেতিয়া ৰেলৰ এজন কৰ্মচাৰীয়ে আগুৱাই আহি দেউতাক উদ্ধাৰ কৰিলে।
common_voice_as_32546464.mp3,"উত্তৰত মালতীয়ে ক'লে- ""আপোনাৰ যি ইচ্ছা মোৰো সেয়ে।"""
